"","data","R_lowerCI","R_medio","R_upperCI"
"1",2020-02-04,2.65460335709039,3.07776819658115,3.53176907974607
"2",2020-02-05,2.15906397607504,2.49348847784541,2.85164021692819
"3",2020-02-06,1.74758696430079,2.01903643033216,2.30979539750222
"4",2020-02-07,1.41891040223076,1.64509597945005,1.88776371134455
"5",2020-02-08,1.04722373831809,1.23115215208516,1.42974170912871
"6",2020-02-09,0.84118762821096,1.00061177941314,1.17366529608027
"7",2020-02-10,1.02022759246473,1.19166716160262,1.37622554770096
"8",2020-02-11,0.977778703509214,1.14262365628767,1.32012104602322
"9",2020-02-12,1.05915376282258,1.22799127703867,1.40913198962179
"10",2020-02-13,1.12715513156051,1.29842047292524,1.48162147244009
"11",2020-02-14,1.33734651342768,1.51993305843397,1.71403315899786
"12",2020-02-15,1.93020633155887,2.14241185515327,2.36552490086077
"13",2020-02-16,2.05993983698694,2.26758718532552,2.4850624431032
"14",2020-02-17,2.12286994947616,2.31986560253696,2.52547677536461
"15",2020-02-18,2.32847697225951,2.51979458987069,2.71855795788166
"16",2020-02-19,2.23249869670789,2.40485581600147,2.58353065790756
"17",2020-02-20,2.81588093284592,2.99365674248647,3.17679727842299
"18",2020-02-21,2.83417154503561,2.99529095525027,3.16080175975854
"19",2020-02-22,2.71027500563201,2.85185841591874,2.99699579763146
"20",2020-02-23,2.78875816228401,2.91807091579432,3.05027311577603
"21",2020-02-24,2.85236978529619,2.96994087540797,3.08985312578077
"22",2020-02-25,2.91137192126057,3.01793523762226,3.12638714224302
"23",2020-02-26,2.78699016274056,2.88037195555884,2.97527104438044
"24",2020-02-27,2.52664707959238,2.60658778205732,2.68775612904921
"25",2020-02-28,2.52501693913463,2.59752257087972,2.67104022021243
"26",2020-02-29,2.37462043146095,2.43863654046497,2.50349224655511
"27",2020-03-01,2.64867552230929,2.71057440374999,2.77317829773218
"28",2020-03-02,2.55607900345703,2.61141977461665,2.6673449958958
"29",2020-03-03,2.44281357355889,2.49211591296833,2.54190398083787
"30",2020-03-04,2.27287550395278,2.3163927227986,2.36031687172856
"31",2020-03-05,2.21687364966613,2.25646637464852,2.2964046742671
"32",2020-03-06,2.13664323511631,2.17260243396976,2.20885754541238
"33",2020-03-07,2.09338228867566,2.12644806539729,2.1597693527249
"34",2020-03-08,1.94564619087864,1.97535294795222,2.00528165809221
"35",2020-03-09,1.93092799583477,1.95867126159246,1.9866096732218
"36",2020-03-10,2.01880248048814,2.04546684896303,2.07230373424453
"37",2020-03-11,1.93576625480927,1.96026981792858,1.98492536155441
"38",2020-03-12,1.84304360801879,1.86553320014582,1.88815728821351
"39",2020-03-13,1.77349898370041,1.79433137871752,1.8152837315203
"40",2020-03-14,1.66433674284935,1.68346775060467,1.70270657117003
"41",2020-03-15,1.6072779247029,1.62519270370716,1.64320539649094
"42",2020-03-16,1.50717288218074,1.52377133533994,1.54045943081454
"43",2020-03-17,1.33075317415346,1.34575440272332,1.36083854768665
"44",2020-03-18,1.2709192395546,1.28513565067207,1.29943003854847
"45",2020-03-19,1.19016836214743,1.20358481531393,1.21707542533394
"46",2020-03-20,1.16705506596217,1.18008149956021,1.19317922964985
"47",2020-03-21,1.10117708229407,1.11362593602728,1.1261437944773
"48",2020-03-22,1.00752533234196,1.01928840495903,1.03111880346537
"49",2020-03-23,0.961616298160651,0.973028718982979,0.984507530658267
"50",2020-03-24,0.92215150976955,0.93329684068746,0.944508193897794
"51",2020-03-25,0.889600552318815,0.900556652659326,0.911578879250256
"52",2020-03-26,0.862025220814672,0.87285212953932,0.883745671782577
"53",2020-03-27,0.790790925818512,0.801229367710538,0.811735304984335
"54",2020-03-28,0.784029514822802,0.794533385325462,0.805106182568741
"55",2020-03-29,0.758610174240189,0.76907655357128,0.779613647452101
"56",2020-03-30,0.753344517064388,0.763933468863345,0.774595297653913
"57",2020-03-31,0.743010421263715,0.753702088235909,0.764469073676261
"58",2020-04-01,0.773997638732667,0.785104445924969,0.79628928157259
"59",2020-04-02,0.774488611849033,0.785791647723967,0.797175432428953
"60",2020-04-03,0.766988411113614,0.778429335886113,0.789953787183074
"61",2020-04-04,0.75741352694899,0.768979697255817,0.780632296692117
"62",2020-04-05,0.766195193901259,0.778034467672505,0.789963254278931
"63",2020-04-06,0.739837530403126,0.751677278650694,0.763609710620523
"64",2020-04-07,0.75096654007683,0.763116762464312,0.775363138214644
"65",2020-04-08,0.698502078959868,0.710440762041425,0.722479206793866
"66",2020-04-09,0.69827822761855,0.710463557179301,0.722752827720954
"67",2020-04-10,0.725366637679582,0.738056985598637,0.750855856213103
"68",2020-04-11,0.721583516526248,0.734512166642461,0.747554020125124
"69",2020-04-12,0.736330744125596,0.749669588717626,0.763126508891303
"70",2020-04-13,0.725321023732842,0.738835129131049,0.752472241286629
"71",2020-04-14,0.737099182307976,0.7510067072403,0.76504240833315
"72",2020-04-15,0.76208950649694,0.776518733977424,0.791081405566513
"73",2020-04-16,0.774032225434752,0.788852797053039,0.803811962487602
"74",2020-04-17,0.737821124610287,0.752554601174421,0.767431710814506
"75",2020-04-18,0.753409086607742,0.768578445273342,0.783896898864513
"76",2020-04-19,0.736523373579057,0.751802404759703,0.76723611527069
"77",2020-04-20,0.789342793897956,0.80546088530426,0.821739618713192
"78",2020-04-21,0.771198062142729,0.787406941689116,0.803782050773853
"79",2020-04-22,0.735401012876894,0.751502737270693,0.767776410413226
"80",2020-04-23,0.722696833567103,0.738953165709828,0.755387792401941
"81",2020-04-24,0.703564305393444,0.719917559101331,0.736456077140765
"82",2020-04-25,0.692902057874469,0.709469509979311,0.72622997348535
"83",2020-04-26,0.691611713842042,0.708527118373596,0.725644047319027
"84",2020-04-27,0.646065654158508,0.662788202830858,0.679721442632678
